"Week","location","team","school","opp","school2"
"838",7,"Home","Maryland","Maryland","Nebraska","Nebraska"
"839",7,"Home","Colorado","Colorado","Iowa State","Iowa State"
"840",7,"Home","Akron","Akron","Miami (OH)","Miami (OH)"
"841",7,"Home","Missouri","Missouri","Alabama","Alabama"
"842",7,"Home","Oregon State","Oregon State","Wake Forest","Wake Forest"
"843",7,"Home","Texas State","Texas State","Troy","Troy"
"844",7,"Home","Cincinnati","Cincinnati","UCF","UCF"
"845",7,"Home","Oregon","Oregon","Indiana","Indiana"
"846",7,"Home","Georgia Tech","Georgia Tech","Virginia Tech","Virginia Tech"
"847",7,"Home","Texas A&M","Texas A&M","Florida","Florida"
"848",7,"Home","Florida State","Florida State","Pittsburgh","Pittsburgh"
"849",7,"Home","Colorado State","Colorado State","Fresno State","Fresno State"
"850",7,"Home","SMU","SMU","Stanford","Stanford"
"851",7,"Home","Notre Dame","Notre Dame","NC State","NC State"
"852",7,"Home","Penn State","Penn State","Northwestern","Northwestern"
"853",7,"Home","Tennessee","Tennessee","Arkansas","Arkansas"
"854",7,"Home","Ole Miss","Ole Miss","Washington State","Washington State"
"855",7,"Home","UTSA","UTSA","Rice","Rice"
"856",7,"Home","Oklahoma State","Oklahoma State","Houston","Houston"
"857",7,"Home","Hawai'i","Hawai'i","Utah State","Utah State"
"858",7,"Home","Florida Atlantic","Florida Atlantic","UAB","UAB"
"859",7,"Home","Kansas State","Kansas State","TCU","TCU"
"860",7,"Home","LSU","LSU","South Carolina","South Carolina"
"861",7,"Home","Nevada","Nevada","San Diego State","San Diego State"
"862",7,"Home","Army","Army","Charlotte","Charlotte"
"863",7,"Home","Texas Tech","Texas Tech","Kansas","Kansas"
"864",7,"Home","Georgia State","Georgia State","App State","App State"
"865",7,"Home","Wyoming","Wyoming","San José State","San José State"
"866",7,"Home","Eastern Michigan","Eastern Michigan","Northern Illinois","Northern Illinois"
"867",7,"Home","Kent State","Kent State","Massachusetts","Massachusetts"
"868",7,"Home","Bowling Green","Bowling Green","Toledo","Toledo"
"869",7,"Home","Temple","Temple","Navy","Navy"
"870",7,"Home","Auburn","Auburn","Georgia","Georgia"
"871",7,"Home","Minnesota","Minnesota","Purdue","Purdue"
"872",7,"Home","Texas","Texas","Oklahoma","Oklahoma"
"873",7,"Home","Marshall","Marshall","Old Dominion","Old Dominion"
"874",7,"Home","USC","USC","Michigan","Michigan"
"875",7,"Home","Illinois","Illinois","Ohio State","Ohio State"
"876",7,"Home","Boise State","Boise State","New Mexico","New Mexico"
"877",7,"Home","Western Michigan","Western Michigan","Ball State","Ball State"
"878",7,"Home","Arizona","Arizona","BYU","BYU"
"879",7,"Home","UNLV","UNLV","Air Force","Air Force"
"880",7,"Home","Coastal Carolina","Coastal Carolina","UL Monroe","UL Monroe"
"881",7,"Home","Wisconsin","Wisconsin","Iowa","Iowa"
"882",7,"Home","Utah","Utah","Arizona State","Arizona State"
"883",7,"Home","Washington","Washington","Rutgers","Rutgers"
"884",7,"Home","Boston College","Boston College","Clemson","Clemson"
"885",7,"Away","Missouri State","Missouri State","Middle Tennessee","Middle Tennessee"
"886",7,"Away","Liberty","Liberty","UTEP","UTEP"
"887",7,"Away","Southern Miss","Southern Miss","Georgia Southern","Georgia Southern"
"888",7,"Away","Jacksonville State","Jacksonville State","Sam Houston","Sam Houston"
"889",7,"Away","East Carolina","East Carolina","Tulane","Tulane"
"890",7,"Away","Louisiana Tech","Louisiana Tech","Kennesaw State","Kennesaw State"
"891",7,"Away","South Florida","South Florida","North Texas","North Texas"
"892",7,"Away","Louisiana","Louisiana","James Madison","James Madison"
"893",7,"Away","UCLA","UCLA","Michigan State","Michigan State"
"894",7,"Away","Nebraska","Nebraska","Maryland","Maryland"
"895",7,"Away","Iowa State","Iowa State","Colorado","Colorado"
"896",7,"Away","Miami (OH)","Miami (OH)","Akron","Akron"
"897",7,"Away","Alabama","Alabama","Missouri","Missouri"
"898",7,"Away","Wake Forest","Wake Forest","Oregon State","Oregon State"
"899",7,"Away","Troy","Troy","Texas State","Texas State"
"900",7,"Away","UCF","UCF","Cincinnati","Cincinnati"
"901",7,"Away","Indiana","Indiana","Oregon","Oregon"
"902",7,"Away","Virginia Tech","Virginia Tech","Georgia Tech","Georgia Tech"
"903",7,"Away","Florida","Florida","Texas A&M","Texas A&M"
"904",7,"Away","Pittsburgh","Pittsburgh","Florida State","Florida State"
"905",7,"Away","Fresno State","Fresno State","Colorado State","Colorado State"
"906",7,"Away","Stanford","Stanford","SMU","SMU"
"907",7,"Away","NC State","NC State","Notre Dame","Notre Dame"
"908",7,"Away","Northwestern","Northwestern","Penn State","Penn State"
"909",7,"Away","Arkansas","Arkansas","Tennessee","Tennessee"
"910",7,"Away","Washington State","Washington State","Ole Miss","Ole Miss"
"911",7,"Away","Rice","Rice","UTSA","UTSA"
"912",7,"Away","Houston","Houston","Oklahoma State","Oklahoma State"
"913",7,"Away","Utah State","Utah State","Hawai'i","Hawai'i"
"914",7,"Away","UAB","UAB","Florida Atlantic","Florida Atlantic"
"915",7,"Away","TCU","TCU","Kansas State","Kansas State"
"916",7,"Away","South Carolina","South Carolina","LSU","LSU"
"917",7,"Away","San Diego State","San Diego State","Nevada","Nevada"
"918",7,"Away","Charlotte","Charlotte","Army","Army"
"919",7,"Away","Kansas","Kansas","Texas Tech","Texas Tech"
"920",7,"Away","App State","App State","Georgia State","Georgia State"
"921",7,"Away","San José State","San José State","Wyoming","Wyoming"
"922",7,"Away","Northern Illinois","Northern Illinois","Eastern Michigan","Eastern Michigan"
"923",7,"Away","Massachusetts","Massachusetts","Kent State","Kent State"
"924",7,"Away","Toledo","Toledo","Bowling Green","Bowling Green"
"925",7,"Away","Navy","Navy","Temple","Temple"
"926",7,"Away","Georgia","Georgia","Auburn","Auburn"
"927",7,"Away","Purdue","Purdue","Minnesota","Minnesota"
"928",7,"Away","Oklahoma","Oklahoma","Texas","Texas"
"929",7,"Away","Old Dominion","Old Dominion","Marshall","Marshall"
"930",7,"Away","Michigan","Michigan","USC","USC"
"931",7,"Away","Ohio State","Ohio State","Illinois","Illinois"
"932",7,"Away","New Mexico","New Mexico","Boise State","Boise State"
"933",7,"Away","Ball State","Ball State","Western Michigan","Western Michigan"
"934",7,"Away","BYU","BYU","Arizona","Arizona"
"935",7,"Away","Air Force","Air Force","UNLV","UNLV"
"936",7,"Away","UL Monroe","UL Monroe","Coastal Carolina","Coastal Carolina"
"937",7,"Away","Iowa","Iowa","Wisconsin","Wisconsin"
"938",7,"Away","Arizona State","Arizona State","Utah","Utah"
"939",7,"Away","Rutgers","Rutgers","Washington","Washington"
"940",7,"Away","Clemson","Clemson","Boston College","Boston College"
"941",8,"Home","Western Kentucky","Western Kentucky","Florida International","Florida International"
"942",8,"Home","South Alabama","South Alabama","Arkansas State","Arkansas State"
"943",8,"Home","Liberty","Liberty","New Mexico State","New Mexico State"
"944",8,"Home","Jacksonville State","Jacksonville State","Delaware","Delaware"
"945",8,"Home","Sam Houston","Sam Houston","UTEP","UTEP"
"946",8,"Home","East Carolina","East Carolina","Tulsa","Tulsa"
"947",8,"Home","Miami","Miami","Louisville","Louisville"
"948",8,"Home","California","California","North Carolina","North Carolina"
"949",8,"Home","Duke","Duke","Georgia Tech","Georgia Tech"
"950",8,"Home","Ball State","Ball State","Akron","Akron"
"951",8,"Home","Toledo","Toledo","Kent State","Kent State"
"952",8,"Home","Oklahoma State","Oklahoma State","Cincinnati","Cincinnati"
"953",8,"Home","Stanford","Stanford","Florida State","Florida State"
"954",8,"Home","UAB","UAB","Memphis","Memphis"
"955",8,"Home","Houston","Houston","Arizona","Arizona"
"956",8,"Home","UCF","UCF","West Virginia","West Virginia"
"957",8,"Home","Boston College","Boston College","UConn","UConn"
"958",8,"Home","Vanderbilt","Vanderbilt","LSU","LSU"
"959",8,"Home","UL Monroe","UL Monroe","Troy","Troy"
"960",8,"Home","Notre Dame","Notre Dame","USC","USC"
"961",8,"Home","Syracuse","Syracuse","Pittsburgh","Pittsburgh"
"962",8,"Home","Louisiana","Louisiana","Southern Miss","Southern Miss"
"963",8,"Home","Clemson","Clemson","SMU","SMU"
"964",8,"Home","Virginia","Virginia","Washington State","Washington State"
"965",8,"Home","Kentucky","Kentucky","Texas","Texas"
"966",8,"Home","App State","App State","Coastal Carolina","Coastal Carolina"
"967",8,"Home","Georgia","Georgia","Ole Miss","Ole Miss"
"968",8,"Home","Arizona State","Arizona State","Texas Tech","Texas Tech"
"969",8,"Home","Alabama","Alabama","Tennessee","Tennessee"
"970",8,"Home","Florida","Florida","Mississippi State","Mississippi State"
"971",8,"Home","UCLA","UCLA","Maryland","Maryland"
"972",8,"Home","Arkansas","Arkansas","Texas A&M","Texas A&M"
"973",8,"Home","TCU","TCU","Baylor","Baylor"
"974",8,"Home","BYU","BYU","Utah","Utah"
"975",8,"Home","Georgia Southern","Georgia Southern","Georgia State","Georgia State"
"976",8,"Home","Northwestern","Northwestern","Purdue","Purdue"
"977",8,"Home","North Texas","North Texas","UTSA","UTSA"
"978",8,"Home","Auburn","Auburn","Missouri","Missouri"
"979",8,"Home","Indiana","Indiana","Michigan State","Michigan State"
"980",8,"Home","Marshall","Marshall","Texas State","Texas State"
"981",8,"Home","James Madison","James Madison","Old Dominion","Old Dominion"
"982",8,"Home","Michigan","Michigan","Washington","Washington"
"983",8,"Home","Massachusetts","Massachusetts","Buffalo","Buffalo"
"984",8,"Home","Minnesota","Minnesota","Nebraska","Nebraska"
"985",8,"Home","Oregon State","Oregon State","Lafayette","Lafayette"
"986",8,"Home","Rutgers","Rutgers","Oregon","Oregon"
"987",8,"Home","Air Force","Air Force","Wyoming","Wyoming"
"988",8,"Home","Utah State","Utah State","San José State","San José State"
"989",8,"Home","South Florida","South Florida","Florida Atlantic","Florida Atlantic"
"990",8,"Home","New Mexico","New Mexico","Nevada","Nevada"
"991",8,"Home","Charlotte","Charlotte","Temple","Temple"
"992",8,"Home","Wisconsin","Wisconsin","Ohio State","Ohio State"
"993",8,"Home","Boise State","Boise State","UNLV","UNLV"
"994",8,"Home","Iowa","Iowa","Penn State","Penn State"
"995",8,"Home","Colorado State","Colorado State","Hawai'i","Hawai'i"
"996",8,"Home","Tulane","Tulane","Army","Army"
"997",8,"Home","Bowling Green","Bowling Green","Central Michigan","Central Michigan"
"998",8,"Home","South Carolina","South Carolina","Oklahoma","Oklahoma"
"999",8,"Home","Miami (OH)","Miami (OH)","Eastern Michigan","Eastern Michigan"
"1000",8,"Home","Ohio","Ohio","Northern Illinois","Northern Illinois"
"1001",8,"Away","Florida International","Florida International","Western Kentucky","Western Kentucky"
"1002",8,"Away","Arkansas State","Arkansas State","South Alabama","South Alabama"
"1003",8,"Away","New Mexico State","New Mexico State","Liberty","Liberty"
"1004",8,"Away","Delaware","Delaware","Jacksonville State","Jacksonville State"
"1005",8,"Away","UTEP","UTEP","Sam Houston","Sam Houston"
"1006",8,"Away","Tulsa","Tulsa","East Carolina","East Carolina"
"1007",8,"Away","Louisville","Louisville","Miami","Miami"
"1008",8,"Away","North Carolina","North Carolina","California","California"
"1009",8,"Away","Georgia Tech","Georgia Tech","Duke","Duke"
"1010",8,"Away","Akron","Akron","Ball State","Ball State"
"1011",8,"Away","Kent State","Kent State","Toledo","Toledo"
"1012",8,"Away","Cincinnati","Cincinnati","Oklahoma State","Oklahoma State"
"1013",8,"Away","Florida State","Florida State","Stanford","Stanford"
"1014",8,"Away","Memphis","Memphis","UAB","UAB"
"1015",8,"Away","Arizona","Arizona","Houston","Houston"
"1016",8,"Away","West Virginia","West Virginia","UCF","UCF"
"1017",8,"Away","UConn","UConn","Boston College","Boston College"
"1018",8,"Away","LSU","LSU","Vanderbilt","Vanderbilt"
"1019",8,"Away","Troy","Troy","UL Monroe","UL Monroe"
"1020",8,"Away","USC","USC","Notre Dame","Notre Dame"
"1021",8,"Away","Pittsburgh","Pittsburgh","Syracuse","Syracuse"
"1022",8,"Away","Southern Miss","Southern Miss","Louisiana","Louisiana"
"1023",8,"Away","SMU","SMU","Clemson","Clemson"
"1024",8,"Away","Washington State","Washington State","Virginia","Virginia"
"1025",8,"Away","Texas","Texas","Kentucky","Kentucky"
"1026",8,"Away","Coastal Carolina","Coastal Carolina","App State","App State"
"1027",8,"Away","Ole Miss","Ole Miss","Georgia","Georgia"
"1028",8,"Away","Texas Tech","Texas Tech","Arizona State","Arizona State"
"1029",8,"Away","Tennessee","Tennessee","Alabama","Alabama"
"1030",8,"Away","Mississippi State","Mississippi State","Florida","Florida"
"1031",8,"Away","Maryland","Maryland","UCLA","UCLA"
"1032",8,"Away","Texas A&M","Texas A&M","Arkansas","Arkansas"
"1033",8,"Away","Baylor","Baylor","TCU","TCU"
"1034",8,"Away","Utah","Utah","BYU","BYU"
"1035",8,"Away","Georgia State","Georgia State","Georgia Southern","Georgia Southern"
"1036",8,"Away","Purdue","Purdue","Northwestern","Northwestern"
"1037",8,"Away","UTSA","UTSA","North Texas","North Texas"
"1038",8,"Away","Missouri","Missouri","Auburn","Auburn"
"1039",8,"Away","Michigan State","Michigan State","Indiana","Indiana"
"1040",8,"Away","Texas State","Texas State","Marshall","Marshall"
"1041",8,"Away","Old Dominion","Old Dominion","James Madison","James Madison"
"1042",8,"Away","Washington","Washington","Michigan","Michigan"
"1043",8,"Away","Buffalo","Buffalo","Massachusetts","Massachusetts"
"1044",8,"Away","Nebraska","Nebraska","Minnesota","Minnesota"
"1045",8,"Away","Lafayette","Lafayette","Oregon State","Oregon State"
"1046",8,"Away","Oregon","Oregon","Rutgers","Rutgers"
"1047",8,"Away","Wyoming","Wyoming","Air Force","Air Force"
"1048",8,"Away","San José State","San José State","Utah State","Utah State"
"1049",8,"Away","Florida Atlantic","Florida Atlantic","South Florida","South Florida"
"1050",8,"Away","Nevada","Nevada","New Mexico","New Mexico"
"1051",8,"Away","Temple","Temple","Charlotte","Charlotte"
"1052",8,"Away","Ohio State","Ohio State","Wisconsin","Wisconsin"
"1053",8,"Away","UNLV","UNLV","Boise State","Boise State"
"1054",8,"Away","Penn State","Penn State","Iowa","Iowa"
"1055",8,"Away","Hawai'i","Hawai'i","Colorado State","Colorado State"
"1056",8,"Away","Army","Army","Tulane","Tulane"
"1057",8,"Away","Central Michigan","Central Michigan","Bowling Green","Bowling Green"
"1058",8,"Away","Oklahoma","Oklahoma","South Carolina","South Carolina"
"1059",8,"Away","Eastern Michigan","Eastern Michigan","Miami (OH)","Miami (OH)"
"1060",8,"Away","Northern Illinois","Northern Illinois","Ohio","Ohio"
"1061",9,"Home","Louisiana Tech","Louisiana Tech","Western Kentucky","Western Kentucky"
"1062",9,"Home","Florida International","Florida International","Kennesaw State","Kennesaw State"
"1063",9,"Home","Delaware","Delaware","Middle Tennessee","Middle Tennessee"
"1064",9,"Home","New Mexico State","New Mexico State","Missouri State","Missouri State"
"1065",9,"Home","Georgia State","Georgia State","South Alabama","South Alabama"
"1066",9,"Home","Virginia Tech","Virginia Tech","California","California"
"1067",9,"Home","Charlotte","Charlotte","North Texas","North Texas"
"1068",9,"Home","Buffalo","Buffalo","Akron","Akron"
"1069",9,"Home","Washington State","Washington State","Toledo","Toledo"
"1070",9,"Home","Navy","Navy","Florida Atlantic","Florida Atlantic"
"1071",9,"Home","Miami","Miami","Stanford","Stanford"
"1072",9,"Home","Kentucky","Kentucky","Tennessee","Tennessee"
"1073",9,"Home","South Carolina","South Carolina","Alabama","Alabama"
"1074",9,"Home","Texas Tech","Texas Tech","Oklahoma State","Oklahoma State"
"1075",9,"Home","Nebraska","Nebraska","Northwestern","Northwestern"
"1076",9,"Home","LSU","LSU","Texas A&M","Texas A&M"
"1077",9,"Home","Miami (OH)","Miami (OH)","Western Michigan","Western Michigan"
"1078",9,"Home","Iowa State","Iowa State","BYU","BYU"
"1079",9,"Home","Fresno State","Fresno State","San Diego State","San Diego State"
"1080",9,"Home","Pittsburgh","Pittsburgh","NC State","NC State"
"1081",9,"Home","Wake Forest","Wake Forest","SMU","SMU"
"1082",9,"Home","Northern Illinois","Northern Illinois","Ball State","Ball State"
"1083",9,"Home","New Mexico","New Mexico","Utah State","Utah State"
"1084",9,"Home","Washington","Washington","Illinois","Illinois"
"1085",9,"Home","Oklahoma","Oklahoma","Ole Miss","Ole Miss"
"1086",9,"Home","Eastern Michigan","Eastern Michigan","Ohio","Ohio"
"1087",9,"Home","North Carolina","North Carolina","Virginia","Virginia"
"1088",9,"Home","Arkansas State","Arkansas State","Georgia Southern","Georgia Southern"
"1089",9,"Home","Vanderbilt","Vanderbilt","Missouri","Missouri"
"1090",9,"Home","Central Michigan","Central Michigan","Massachusetts","Massachusetts"
"1091",9,"Home","Iowa","Iowa","Minnesota","Minnesota"
"1092",9,"Home","Rice","Rice","UConn","UConn"
"1093",9,"Home","Louisville","Louisville","Boston College","Boston College"
"1094",9,"Home","Oregon","Oregon","Wisconsin","Wisconsin"
"1095",9,"Home","Georgia Tech","Georgia Tech","Syracuse","Syracuse"
"1096",9,"Home","Tulsa","Tulsa","Temple","Temple"
"1097",9,"Home","Southern Miss","Southern Miss","UL Monroe","UL Monroe"
"1098",9,"Home","Troy","Troy","Louisiana","Louisiana"
"1099",9,"Home","Purdue","Purdue","Rutgers","Rutgers"
"1100",9,"Home","Cincinnati","Cincinnati","Baylor","Baylor"
"1101",9,"Home","Mississippi State","Mississippi State","Texas","Texas"
"1102",9,"Home","Kent State","Kent State","Bowling Green","Bowling Green"
"1103",9,"Home","Arkansas","Arkansas","Auburn","Auburn"
"1104",9,"Home","Wyoming","Wyoming","Colorado State","Colorado State"
"1105",9,"Home","Indiana","Indiana","UCLA","UCLA"
"1106",9,"Home","Memphis","Memphis","South Florida","South Florida"
"1107",9,"Home","Utah","Utah","Colorado","Colorado"
"1108",9,"Home","Old Dominion","Old Dominion","App State","App State"
"1109",9,"Home","West Virginia","West Virginia","TCU","TCU"
"1110",9,"Home","Nevada","Nevada","Boise State","Boise State"
"1111",9,"Home","Michigan State","Michigan State","Michigan","Michigan"
"1112",9,"Home","Kansas","Kansas","Kansas State","Kansas State"
"1113",9,"Home","Arizona State","Arizona State","Houston","Houston"
"1114",9,"Away","Western Kentucky","Western Kentucky","Louisiana Tech","Louisiana Tech"
"1115",9,"Away","Kennesaw State","Kennesaw State","Florida International","Florida International"
"1116",9,"Away","Middle Tennessee","Middle Tennessee","Delaware","Delaware"
"1117",9,"Away","Missouri State","Missouri State","New Mexico State","New Mexico State"
"1118",9,"Away","South Alabama","South Alabama","Georgia State","Georgia State"
"1119",9,"Away","California","California","Virginia Tech","Virginia Tech"
"1120",9,"Away","North Texas","North Texas","Charlotte","Charlotte"
"1121",9,"Away","Akron","Akron","Buffalo","Buffalo"
"1122",9,"Away","Toledo","Toledo","Washington State","Washington State"
"1123",9,"Away","Florida Atlantic","Florida Atlantic","Navy","Navy"
"1124",9,"Away","Stanford","Stanford","Miami","Miami"
"1125",9,"Away","Tennessee","Tennessee","Kentucky","Kentucky"
"1126",9,"Away","Alabama","Alabama","South Carolina","South Carolina"
"1127",9,"Away","Oklahoma State","Oklahoma State","Texas Tech","Texas Tech"
"1128",9,"Away","Northwestern","Northwestern","Nebraska","Nebraska"
"1129",9,"Away","Texas A&M","Texas A&M","LSU","LSU"
"1130",9,"Away","Western Michigan","Western Michigan","Miami (OH)","Miami (OH)"
"1131",9,"Away","BYU","BYU","Iowa State","Iowa State"
"1132",9,"Away","San Diego State","San Diego State","Fresno State","Fresno State"
"1133",9,"Away","NC State","NC State","Pittsburgh","Pittsburgh"
"1134",9,"Away","SMU","SMU","Wake Forest","Wake Forest"
"1135",9,"Away","Ball State","Ball State","Northern Illinois","Northern Illinois"
"1136",9,"Away","Utah State","Utah State","New Mexico","New Mexico"
"1137",9,"Away","Illinois","Illinois","Washington","Washington"
"1138",9,"Away","Ole Miss","Ole Miss","Oklahoma","Oklahoma"
"1139",9,"Away","Ohio","Ohio","Eastern Michigan","Eastern Michigan"
"1140",9,"Away","Virginia","Virginia","North Carolina","North Carolina"
"1141",9,"Away","Georgia Southern","Georgia Southern","Arkansas State","Arkansas State"
"1142",9,"Away","Missouri","Missouri","Vanderbilt","Vanderbilt"
"1143",9,"Away","Massachusetts","Massachusetts","Central Michigan","Central Michigan"
"1144",9,"Away","Minnesota","Minnesota","Iowa","Iowa"
"1145",9,"Away","UConn","UConn","Rice","Rice"
"1146",9,"Away","Boston College","Boston College","Louisville","Louisville"
"1147",9,"Away","Wisconsin","Wisconsin","Oregon","Oregon"
"1148",9,"Away","Syracuse","Syracuse","Georgia Tech","Georgia Tech"
"1149",9,"Away","Temple","Temple","Tulsa","Tulsa"
"1150",9,"Away","UL Monroe","UL Monroe","Southern Miss","Southern Miss"
"1151",9,"Away","Louisiana","Louisiana","Troy","Troy"
"1152",9,"Away","Rutgers","Rutgers","Purdue","Purdue"
"1153",9,"Away","Baylor","Baylor","Cincinnati","Cincinnati"
"1154",9,"Away","Texas","Texas","Mississippi State","Mississippi State"
"1155",9,"Away","Bowling Green","Bowling Green","Kent State","Kent State"
"1156",9,"Away","Auburn","Auburn","Arkansas","Arkansas"
"1157",9,"Away","Colorado State","Colorado State","Wyoming","Wyoming"
"1158",9,"Away","UCLA","UCLA","Indiana","Indiana"
"1159",9,"Away","South Florida","South Florida","Memphis","Memphis"
"1160",9,"Away","Colorado","Colorado","Utah","Utah"
"1161",9,"Away","App State","App State","Old Dominion","Old Dominion"
"1162",9,"Away","TCU","TCU","West Virginia","West Virginia"
"1163",9,"Away","Boise State","Boise State","Nevada","Nevada"
"1164",9,"Away","Michigan","Michigan","Michigan State","Michigan State"
"1165",9,"Away","Kansas State","Kansas State","Kansas","Kansas"
"1166",9,"Away","Houston","Houston","Arizona State","Arizona State"
"1167",10,"Home","Kennesaw State","Kennesaw State","UTEP","UTEP"
"1168",10,"Home","Texas State","Texas State","James Madison","James Madison"
"1169",10,"Home","Louisiana Tech","Louisiana Tech","Sam Houston","Sam Houston"
"1170",10,"Home","Middle Tennessee","Middle Tennessee","Jacksonville State","Jacksonville State"
"1171",10,"Home","Missouri State","Missouri State","Florida International","Florida International"
"1172",10,"Home","UTSA","UTSA","Tulane","Tulane"
"1173",10,"Home","Coastal Carolina","Coastal Carolina","Marshall","Marshall"
"1174",10,"Home","Rice","Rice","Memphis","Memphis"
"1175",10,"Home","Syracuse","Syracuse","North Carolina","North Carolina"
"1176",10,"Home","UConn","UConn","UAB","UAB"
"1177",10,"Home","Kansas","Kansas","Oklahoma State","Oklahoma State"
"1178",10,"Home","Auburn","Auburn","Kentucky","Kentucky"
"1179",10,"Home","UL Monroe","UL Monroe","Old Dominion","Old Dominion"
"1180",10,"Home","Arkansas","Arkansas","Mississippi State","Mississippi State"
"1181",10,"Home","Texas","Texas","Vanderbilt","Vanderbilt"
"1182",10,"Home","Colorado","Colorado","Arizona","Arizona"
"1183",10,"Home","Minnesota","Minnesota","Michigan State","Michigan State"
"1184",10,"Home","Liberty","Liberty","Delaware","Delaware"
"1185",10,"Home","Air Force","Air Force","Army","Army"
"1186",10,"Home","Virginia Tech","Virginia Tech","Louisville","Louisville"
"1187",10,"Home","Nebraska","Nebraska","USC","USC"
"1188",10,"Home","Western Kentucky","Western Kentucky","New Mexico State","New Mexico State"
"1189",10,"Home","Tennessee","Tennessee","Oklahoma","Oklahoma"
"1190",10,"Home","Oregon State","Oregon State","Washington State","Washington State"
"1191",10,"Home","Temple","Temple","East Carolina","East Carolina"
"1192",10,"Home","San Diego State","San Diego State","Wyoming","Wyoming"
"1193",10,"Home","Clemson","Clemson","Duke","Duke"
"1194",10,"Home","Florida State","Florida State","Wake Forest","Wake Forest"
"1195",10,"Home","Ohio State","Ohio State","Penn State","Penn State"
"1196",10,"Home","South Alabama","South Alabama","Louisiana","Louisiana"
"1197",10,"Home","Iowa State","Iowa State","Arizona State","Arizona State"
"1198",10,"Home","Houston","Houston","West Virginia","West Virginia"
"1199",10,"Home","Troy","Troy","Arkansas State","Arkansas State"
"1200",10,"Home","North Texas","North Texas","Navy","Navy"
"1201",10,"Home","Ole Miss","Ole Miss","South Carolina","South Carolina"
"1202",10,"Home","Western Michigan","Western Michigan","Central Michigan","Central Michigan"
"1203",10,"Home","Baylor","Baylor","UCF","UCF"
"1204",10,"Home","Bowling Green","Bowling Green","Buffalo","Buffalo"
"1205",10,"Home","Boise State","Boise State","Fresno State","Fresno State"
"1206",10,"Home","Michigan","Michigan","Purdue","Purdue"
"1207",10,"Home","Illinois","Illinois","Rutgers","Rutgers"
"1208",10,"Home","SMU","SMU","Miami","Miami"
"1209",10,"Home","Boston College","Boston College","Notre Dame","Notre Dame"
"1210",10,"Home","Kansas State","Kansas State","Texas Tech","Texas Tech"
"1211",10,"Home","Utah","Utah","Cincinnati","Cincinnati"
"1212",10,"Home","California","California","Virginia","Virginia"
"1213",10,"Home","San José State","San José State","Hawai'i","Hawai'i"
"1214",10,"Home","UNLV","UNLV","New Mexico","New Mexico"
"1215",10,"Home","Stanford","Stanford","Pittsburgh","Pittsburgh"
"1216",10,"Home","Florida","Florida","Georgia","Georgia"
"1217",10,"Home","NC State","NC State","Georgia Tech","Georgia Tech"
"1218",10,"Home","Maryland","Maryland","Indiana","Indiana"
"1219",10,"Away","UTEP","UTEP","Kennesaw State","Kennesaw State"
"1220",10,"Away","James Madison","James Madison","Texas State","Texas State"
"1221",10,"Away","Sam Houston","Sam Houston","Louisiana Tech","Louisiana Tech"
"1222",10,"Away","Jacksonville State","Jacksonville State","Middle Tennessee","Middle Tennessee"
"1223",10,"Away","Florida International","Florida International","Missouri State","Missouri State"
"1224",10,"Away","Tulane","Tulane","UTSA","UTSA"
"1225",10,"Away","Marshall","Marshall","Coastal Carolina","Coastal Carolina"
"1226",10,"Away","Memphis","Memphis","Rice","Rice"
"1227",10,"Away","North Carolina","North Carolina","Syracuse","Syracuse"
"1228",10,"Away","UAB","UAB","UConn","UConn"
"1229",10,"Away","Oklahoma State","Oklahoma State","Kansas","Kansas"
"1230",10,"Away","Kentucky","Kentucky","Auburn","Auburn"
"1231",10,"Away","Old Dominion","Old Dominion","UL Monroe","UL Monroe"
"1232",10,"Away","Mississippi State","Mississippi State","Arkansas","Arkansas"
"1233",10,"Away","Vanderbilt","Vanderbilt","Texas","Texas"
"1234",10,"Away","Arizona","Arizona","Colorado","Colorado"
"1235",10,"Away","Michigan State","Michigan State","Minnesota","Minnesota"
"1236",10,"Away","Delaware","Delaware","Liberty","Liberty"
"1237",10,"Away","Army","Army","Air Force","Air Force"
"1238",10,"Away","Louisville","Louisville","Virginia Tech","Virginia Tech"
"1239",10,"Away","USC","USC","Nebraska","Nebraska"
"1240",10,"Away","New Mexico State","New Mexico State","Western Kentucky","Western Kentucky"
"1241",10,"Away","Oklahoma","Oklahoma","Tennessee","Tennessee"
"1242",10,"Away","Washington State","Washington State","Oregon State","Oregon State"
"1243",10,"Away","East Carolina","East Carolina","Temple","Temple"
"1244",10,"Away","Wyoming","Wyoming","San Diego State","San Diego State"
"1245",10,"Away","Duke","Duke","Clemson","Clemson"
"1246",10,"Away","Wake Forest","Wake Forest","Florida State","Florida State"
"1247",10,"Away","Penn State","Penn State","Ohio State","Ohio State"
"1248",10,"Away","Louisiana","Louisiana","South Alabama","South Alabama"
"1249",10,"Away","Arizona State","Arizona State","Iowa State","Iowa State"
"1250",10,"Away","West Virginia","West Virginia","Houston","Houston"
"1251",10,"Away","Arkansas State","Arkansas State","Troy","Troy"
"1252",10,"Away","Navy","Navy","North Texas","North Texas"
"1253",10,"Away","South Carolina","South Carolina","Ole Miss","Ole Miss"
"1254",10,"Away","Central Michigan","Central Michigan","Western Michigan","Western Michigan"
"1255",10,"Away","UCF","UCF","Baylor","Baylor"
