"Week","location","team","school","opp","school2"
"194",2,"Home","Tennessee","Tennessee","East Tennessee State","East Tennessee State"
"195",2,"Home","Oklahoma","Oklahoma","Michigan","Michigan"
"196",2,"Home","Iowa State","Iowa State","Iowa","Iowa"
"197",2,"Home","Missouri","Missouri","Kansas","Kansas"
"198",2,"Home","LSU","LSU","Louisiana Tech","Louisiana Tech"
"199",2,"Home","Texas Tech","Texas Tech","Kent State","Kent State"
"200",2,"Home","Kentucky","Kentucky","Ole Miss","Ole Miss"
"201",2,"Home","Georgia","Georgia","Austin Peay","Austin Peay"
"202",2,"Home","Florida","Florida","South Florida","South Florida"
"203",2,"Home","Arkansas","Arkansas","Arkansas State","Arkansas State"
"204",2,"Home","South Carolina","South Carolina","South Carolina State","South Carolina State"
"205",2,"Home","Auburn","Auburn","Ball State","Ball State"
"206",2,"Home","Wyoming","Wyoming","Northern Iowa","Northern Iowa"
"207",2,"Home","Nevada","Nevada","Sacramento State","Sacramento State"
"208",2,"Home","Massachusetts","Massachusetts","Bryant","Bryant"
"209",2,"Home","UNLV","UNLV","UCLA","UCLA"
"210",2,"Home","New Mexico","New Mexico","Idaho State","Idaho State"
"211",2,"Home","Boise State","Boise State","Eastern Washington","Eastern Washington"
"212",2,"Home","Hawai'i","Hawai'i","Sam Houston","Sam Houston"
"213",2,"Home","East Carolina","East Carolina","Campbell","Campbell"
"214",2,"Home","Colorado State","Colorado State","Northern Colorado","Northern Colorado"
"215",2,"Home","Western Michigan","Western Michigan","North Texas","North Texas"
"216",2,"Home","Toledo","Toledo","Western Kentucky","Western Kentucky"
"217",2,"Home","Temple","Temple","Howard","Howard"
"218",2,"Home","Mississippi State","Mississippi State","Arizona State","Arizona State"
"219",2,"Home","Eastern Michigan","Eastern Michigan","Long Island University","Long Island University"
"220",2,"Home","Buffalo","Buffalo","St. Francis (PA)","St. Francis (PA)"
"221",2,"Home","Ohio","Ohio","West Virginia","West Virginia"
"222",2,"Home","Navy","Navy","UAB","UAB"
"223",2,"Home","Purdue","Purdue","Southern Illinois","Southern Illinois"
"224",2,"Home","Oregon","Oregon","Oklahoma State","Oklahoma State"
"225",2,"Home","Wisconsin","Wisconsin","Middle Tennessee","Middle Tennessee"
"226",2,"Home","Washington","Washington","UC Davis","UC Davis"
"227",2,"Home","Alabama","Alabama","UL Monroe","UL Monroe"
"228",2,"Home","Penn State","Penn State","Florida International","Florida International"
"229",2,"Home","Ohio State","Ohio State","Grambling","Grambling"
"230",2,"Home","Rutgers","Rutgers","Miami (OH)","Miami (OH)"
"231",2,"Home","UTEP","UTEP","UT Martin","UT Martin"
"232",2,"Home","Oregon State","Oregon State","Fresno State","Fresno State"
"233",2,"Home","Nebraska","Nebraska","Akron","Akron"
"234",2,"Home","Minnesota","Minnesota","Northwestern State","Northwestern State"
"235",2,"Home","Washington State","Washington State","San Diego State","San Diego State"
"236",2,"Home","Texas","Texas","San José State","San José State"
"237",2,"Home","Michigan State","Michigan State","Boston College","Boston College"
"238",2,"Home","Maryland","Maryland","Northern Illinois","Northern Illinois"
"239",2,"Home","Marshall","Marshall","Missouri State","Missouri State"
